gvkey,fiscal_year,ticker,company_name,cik,accession_number,mdna_total_sentence_count,mdna_total_word_count,n_kept_sentences,n_ai_candidate_sentences,n_generic_ai_disclosure_sentences,n_substantive_ai_implementation_sentences,n_substantive_ai_risk_governance_sentences,n_substantive_ai_disclosure_sentences,ai_candidate_sentence_intensity,generic_ai_disclosure_sentence_intensity,substantive_ai_disclosure_sentence_intensity,substantive_ai_implementation_sentence_intensity,substantive_ai_risk_governance_sentence_intensity,ai_candidate_per_10000_words,generic_ai_disclosure_per_10000_words,substantive_ai_disclosure_per_10000_words,substantive_ai_implementation_per_10000_words,substantive_ai_risk_governance_per_10000_words,tic,conm,fyear,datadate,sic,naics,gsubind,log_assets,ROA,leverage,debt_at,sales_growth,rd_to_assets,capex_to_assets,intangibles_to_assets,tobin_q,prcc_f,csho,cash_ratio,ppe_ratio,log_emp,at,ni,lt,sale,xrd,capx,intan,future_ROA,future_sales_growth,future_earnings_growth,future_capex_to_assets,future_rd_to_assets,future_operating_performance,sector,tobin_q_winsorized,sales_growth_winsorized,future_sales_growth_winsorized,future_earnings_growth_winsorized,leverage_winsorized,post_ai,has_ai_candidate,has_generic_ai,has_substantive_ai,sample_valuation,sample_future_performance,momentum_12m,volatility_12m,momentum_12m_winsorized
1161.0,2019,AMD,"Advanced Micro Devices, Inc.",2488.0,0000002488-19-000011,211,7169,211,38,16,21,1,22,0.1800947867298578,0.0758293838862559,0.1042654028436018,0.0995260663507109,0.0047393364928909,53.00599804714744,22.318314967219973,30.687683079927467,29.29278839447621,1.3948946854512485,AMD,ADVANCED MICRO DEVICES,2019,2019-12-31,3674,334413.0,45301020.0,8.704170559746386,0.0565693430656934,0.531021897810219,0.1207697412076974,0.0395366795366795,0.256635700066357,0.0359986728599867,0.0827803583278035,9.432183145321831,45.86,1170.0,0.25,0.1169542136695421,2.4336133554004498,6028.0,341.0,3201.0,6731.0,1547.0,217.0,499.0,0.2778397679089489,0.4504531273213489,6.302052785923753,0.0328051774157554,0.221267574202187,0.2778397679089489,Electrical_Equipment,9.432183145321831,0.0395366795366795,0.4504531273213489,6.302052785923753,0.531021897810219,0,1,1,1,1,1,0.8380313009829581,0.1234194714318415,0.8380313009829581
1161.0,2020,AMD,"Advanced Micro Devices, Inc.",2488.0,0000002488-20-000008,139,4195,139,34,11,21,2,23,0.2446043165467626,0.079136690647482,0.1654676258992805,0.1510791366906475,0.014388489208633,81.04886769964244,26.22169249106079,54.82717520858164,50.0595947556615,4.767580452920143,AMD,ADVANCED MICRO DEVICES,2020,2020-12-31,3674,334413.0,45301020.0,9.100748695346088,0.2778397679089489,0.3486944878375362,0.0638250390537826,0.4504531273213489,0.221267574202187,0.0328051774157554,0.05779959830395,12.741108011604553,91.71,1211.0,0.2555233206873465,0.0947333184557018,2.533696813957432,8962.0,2490.0,3125.0,9763.0,1983.0,294.0,518.0,0.254609871970368,0.683294069445867,0.2698795180722891,0.0242370561236814,0.2290844673484177,0.254609871970368,Electrical_Equipment,12.741108011604553,0.4504531273213489,0.683294069445867,0.2698795180722891,0.3486944878375362,0,1,1,1,1,1,1.3667959237728098,0.1626370032610036,1.2171606859051176
1161.0,2022,AMD,"Advanced Micro Devices, Inc.",2488.0,0000002488-22-000016,134,4586,134,44,10,34,0,34,0.3283582089552239,0.0746268656716417,0.2537313432835821,0.2537313432835821,0.0,95.94417793283908,21.80549498473616,74.13868294810293,74.13868294810293,0.0,AMD,ADVANCED MICRO DEVICES,2022,2022-12-31,3674,334413.0,45301020.0,11.12106736026828,0.0195324060372891,0.18984906777153,0.0437407517016868,0.4361080686381891,0.0740603728913879,0.0066587747854394,0.7199911216336194,1.73482154483575,64.77,1612.0,0.0866380585972181,0.0291950281148268,3.218875824868201,67580.0,1320.0,12830.0,23601.0,5005.0,450.0,48657.0,0.0125800986963246,-0.0390237701792296,-0.353030303030303,0.008043013920601,0.0864992266332768,0.0125800986963246,Electrical_Equipment,1.73482154483575,0.4361080686381891,-0.0390237701792296,-0.353030303030303,0.18984906777153,0,1,1,1,1,1,-0.5098191516622845,0.1941513989111372,-0.4704420544653103
1161.0,2023,AMD,"Advanced Micro Devices, Inc.",2488.0,0000002488-23-000047,194,6190,194,47,6,36,5,41,0.2422680412371134,0.0309278350515463,0.211340206185567,0.1855670103092783,0.0257731958762886,75.92891760904685,9.693053311793214,66.23586429725364,58.15831987075929,8.077544426494347,AMD,ADVANCED MICRO DEVICES,2023,2023-12-31,3674,334413.0,45301020.0,11.125570376034382,0.0125800986963246,0.1766664211534212,0.0457980408043013,-0.0390237701792296,0.0864992266332768,0.008043013920601,0.6720925093908816,3.6857562053472783,147.41,1616.0,0.0850408779553656,0.0327318258820063,3.258096538021482,67885.0,854.0,11993.0,22680.0,5872.0,546.0,45625.0,0.0237049663421257,0.1369047619047619,0.9215456674473068,0.0091872995695259,0.0932597578944327,0.0237049663421257,Electrical_Equipment,3.6857562053472783,-0.0390237701792296,0.1369047619047619,0.9215456674473068,0.17702216338048,1,1,1,1,1,1,0.560736794787998,0.1547055069955495,0.560736794787998
1161.0,2024,AMD,"Advanced Micro Devices, Inc.",2488.0,0000002488-24-000012,163,5222,163,48,6,39,3,42,0.294478527607362,0.0368098159509202,0.2576687116564417,0.2392638036809816,0.0184049079754601,91.91880505553428,11.489850631941785,80.4289544235925,74.6840291076216,5.744925315970892,AMD,ADVANCED MICRO DEVICES,2024,2024-12-31,3674,334413.0,45301020.0,11.145131793583074,0.0237049663421257,0.1684049345621587,0.0335278652529396,0.1369047619047619,0.0932597578944327,0.0091872995695259,0.6322624447461936,2.9985753907491404,120.79,1622.0,0.0744806864472885,0.0350301909687111,3.332204510175204,69226.0,1641.0,11658.0,25785.0,6456.0,636.0,43769.0,0.0563528585913735,0.3433779329067287,1.6416819012797077,0.0126615188622832,0.1051790031978784,0.0563528585913735,Electrical_Equipment,2.9985753907491404,0.1369047619047619,0.3433779329067287,1.6416819012797077,0.17702216338048,1,1,1,1,1,1,0.1321785308397565,0.1159976355514968,0.1321785308397565
1161.0,2025,AMD,"Advanced Micro Devices, Inc.",2488.0,0000002488-25-000012,157,4884,157,45,14,29,2,31,0.286624203821656,0.0891719745222929,0.197452229299363,0.1847133757961783,0.0127388535031847,92.13759213759214,28.665028665028665,63.47256347256347,59.37755937755937,4.095004095004096,AMD,ADVANCED MICRO DEVICES,2025,2025-12-31,3674,334413.0,45301020.0,11.250599199780757,0.0563528585913735,0.1810441203234277,0.0520760211111977,0.3433779329067287,0.1051790031978784,0.0126615188622832,0.5437823362712217,4.718922080960923,214.16,1630.0,0.1373917791123937,0.0300548579153992,3.4339872044851463,76926.0,4335.0,13927.0,34639.0,8091.0,974.0,41831.0,,,,,,,Electrical_Equipment,4.718922080960923,0.3433779329067287,,,0.1810441203234277,1,1,1,1,1,0,,,
1209.0,2019,APD,"Air Products and Chemicals, Inc.",2969.0,0000002969-19-000051,503,15200,503,23,4,16,3,19,0.0457256461232604,0.0079522862823061,0.0377733598409542,0.0318091451292246,0.0059642147117296,15.13157894736842,2.631578947368421,12.5,10.526315789473683,1.973684210526316,APD,AIR PRODUCTS & CHEMICALS INC,2019,2019-09-30,2810,325120.0,15101040.0,9.849179191082785,0.0929112908334565,0.3988058787507654,0.1755812234727706,-0.0012653691966586,0.0038484278987266,0.1050372700973457,0.0642249297886268,2.980328773993285,221.86,220.415,0.1274732352133792,0.5457271364317842,2.873564639579784,18942.8,1760.0,7554.5,8918.9,72.9,1989.7,1216.6,0.0749627510578699,-0.0070188027671574,0.0719886363636364,0.0996881021912311,0.003333531994358,0.0749627510578699,Chemicals,2.980328773993285,-0.0012653691966586,-0.0070188027671574,0.0719886363636364,0.3988058787507654,0,1,1,1,1,1,0.5036032259113707,0.0546747524712081,0.5036032259113707
1209.0,2020,APD,"Air Products and Chemicals, Inc.",2969.0,0000002969-20-000049,486,15160,486,15,3,12,0,12,0.0308641975308641,0.0061728395061728,0.0246913580246913,0.0246913580246913,0.0,9.894459102902376,1.9788918205804749,7.915567282321899,7.915567282321899,0.0,APD,AIR PRODUCTS & CHEMICALS INC,2020,2020-09-30,2810,325120.0,15101040.0,10.133348491597864,0.0749627510578699,0.5056082007270993,0.3303454715219421,-0.0070188027671574,0.003333531994358,0.0996881021912311,0.0527365556151538,3.1212636279476325,297.86,221.017,0.2526133857798438,0.4903550072511274,2.958808919449393,25168.5,1886.7,12725.4,8856.3,83.9,2509.0,1327.3,0.0781519926133317,0.1656109210392602,0.1125775162982985,0.0917451003752903,0.003481116340025,0.0781519926133317,Chemicals,3.1212636279476325,-0.0070188027671574,0.1656109210392602,0.1125775162982985,0.5056082007270993,0,1,1,1,1,1,0.2113061804622785,0.0814479455530377,0.2113061804622785
1209.0,2021,APD,"Air Products and Chemicals, Inc.",2969.0,0000002969-21-000055,433,13369,433,12,4,8,0,8,0.0277136258660508,0.0092378752886836,0.0184757505773672,0.0184757505773672,0.0,8.975989228812926,2.991996409604308,5.983992819208616,5.983992819208616,0.0,APD,AIR PRODUCTS & CHEMICALS INC,2021,2021-09-30,2810,325120.0,15101040.0,10.19836368556815,0.0781519926133317,0.4754869839756955,0.3060106034431405,0.1656109210392602,0.003481116340025,0.0917451003752903,0.0495993923869661,2.586569431330792,256.11,221.397,0.2159706916066003,0.5145648418419014,3.0385522707369192,26859.2,2099.1,12771.2,10323.0,93.5,2464.2,1332.2,0.0829674249612026,0.230126901094643,0.0747939593158972,0.1076211910593323,0.0037841177379139,0.0829674249612026,Chemicals,2.586569431330792,0.1656109210392602,0.230126901094643,0.0747939593158972,0.4754869839756955,0,1,1,1,1,1,0.048097451807135,0.0709230644616852,0.048097451807135
1209.0,2022,APD,"Air Products and Chemicals, Inc.",2969.0,0000002969-22-000054,498,16200,498,16,5,11,0,11,0.0321285140562249,0.0100401606425702,0.0220883534136546,0.0220883534136546,0.0,9.876543209876544,3.08641975308642,6.790123456790123,6.790123456790123,0.0,APD,AIR PRODUCTS & CHEMICALS INC,2022,2022-09-30,2810,325120.0,15101040.0,10.210700156445844,0.0829674249612026,0.496098203187632,0.3062193390848981,0.230126901094643,0.0037841177379139,0.1076211910593323,0.0430447989526562,2.394724685024602,232.73,221.839,0.1214190625390731,0.5462956833844502,3.086486636822455,27192.6,2256.1,13490.2,12698.6,102.9,2926.5,1170.5,0.0718756347160378,-0.0077646354716268,0.0195470058951287,0.1445637059604718,0.00329974220764,0.0718756347160378,Chemicals,2.394724685024602,0.230126901094643,-0.0077646354716268,0.0195470058951287,0.496098203187632,0,1,1,1,1,1,0.1063914274582308,0.1017954402001282,0.1063914274582308
