gvkey,fyear,datadate,capx,intan,prcc_f
001004,2018,2019-05-31,17.4000,145.6000,30.090000000000
001004,2019,2020-05-31,23.6000,125.8000,20.170000000000
001004,2020,2021-05-31,11.3000,148.8000,41.750000000000
001004,2021,2022-05-31,17.3000,141.9000,48.220000000000
001004,2022,2023-05-31,29.5000,279.1000,50.110000000000
001004,2023,2024-05-31,29.7000,842.0000,70.990000000000
001004,2024,2025-05-31,34.7000,796.4000,61.410000000000
001019,2018,2018-12-31,1.2190,4.1160,177.500000000000
001019,2019,2019-12-31,1.1070,3.4850,180.000000000000
001019,2020,2020-12-31,1.7810,2.9750,174.000000000000
001045,2018,2018-12-31,3745.0000,6228.0000,32.110000000000
001045,2019,2019-12-31,4268.0000,6175.0000,28.680000000000
001045,2020,2020-12-31,1958.0000,6120.0000,15.770000000000
001045,2021,2021-12-31,412.0000,6079.0000,17.960000000000
001045,2022,2022-12-31,2906.0000,6150.0000,12.720000000000
001045,2023,2023-12-31,2596.0000,6142.0000,13.740000000000
001045,2024,2024-12-31,2683.0000,6135.0000,17.430000000000
001045,2025,2025-12-31,3779.0000,6157.0000,15.330000000000
001050,2018,2018-12-31,3.0900,206.3730,6.750000000000
001050,2019,2019-12-31,5.6550,197.5940,7.660000000000
001050,2020,2020-12-31,3.9450,204.3940,6.960000000000
001050,2021,2021-12-31,2.6160,196.6530,6.230000000000
001050,2022,2022-12-31,3.3760,227.9560,11.680000000000
001050,2023,2023-12-31,8.3840,271.3570,20.280000000000
001050,2024,2024-12-31,17.3680,353.2630,30.230000000000
001050,2025,2025-12-31,11.3430,394.8340,59.850000000000
001062,2018,2018-11-30,,0.0000,8.660000000000
001062,2019,2019-11-30,,0.0000,12.200000000000
001062,2020,2020-11-30,,0.0000,19.910000000000
001062,2021,2021-11-30,,0.0000,20.700000000000
001062,2022,2022-11-30,,0.0000,14.260000000000
001062,2023,2023-11-30,,0.0000,15.310000000000
001062,2024,2024-11-30,,0.0000,20.390000000000
001062,2025,2025-11-30,,0.0000,52.720000000000
001072,2018,2019-03-31,129.6550,435.6190,17.340000000000
001075,2018,2018-12-31,1203.3490,262.9020,85.200000000000
001075,2019,2019-12-31,1209.9750,290.5640,89.930000000000
001075,2020,2020-12-31,1345.1140,282.5700,79.950000000000
001075,2021,2021-12-31,1494.5270,273.6930,70.590000000000
001075,2022,2022-12-31,1735.5200,258.8800,76.040000000000
001075,2023,2023-12-31,1889.9340,267.1100,71.840000000000
001075,2024,2024-12-31,2297.4650,591.3100,84.770000000000
001075,2025,2025-12-31,2672.3510,575.9780,88.700000000000
001076,2018,2018-12-31,78.8450,961.7700,42.050000000000
001076,2019,2019-12-31,92.9630,927.3780,57.110000000000
001076,2020,2020-12-31,64.3450,443.2220,53.870000000000
001076,2021,2021-12-31,9.5550,443.5170,45.110000000000
001076,2022,2022-12-31,9.6740,410.4720,16.890000000000
001076,2023,2023-12-31,9.6160,387.7250,30.910000000000
001076,2024,2024-12-31,8.3160,369.8360,42.260000000000
001076,2025,2025-12-31,10.0420,353.8350,29.490000000000
001078,2018,2018-12-31,1394.0000,42196.0000,72.330000000000
001078,2019,2019-12-31,1638.0000,40220.0000,86.860000000000
001078,2020,2020-12-31,2177.0000,38528.0000,109.490000000000
001078,2021,2021-12-31,1885.0000,35970.0000,140.740000000000
001078,2022,2022-12-31,1777.0000,33253.0000,109.790000000000
001078,2023,2023-12-31,2202.0000,32494.0000,110.070000000000
001078,2024,2024-12-31,2207.0000,29755.0000,113.110000000000
001078,2025,2025-12-31,2171.0000,29561.0000,125.290000000000
001084,2018,2018-12-31,0.0000,0.0000,0.210000000000
001084,2019,2019-12-31,0.0000,0.0000,0.230000000000
001084,2020,2020-12-31,0.0000,0.0000,0.300000000000
001084,2021,2021-12-31,0.0000,0.0000,0.045970000000
001084,2022,2022-12-31,0.0000,0.0000,0.007000000000
001084,2023,2023-12-31,0.0000,0.0000,0.004300000000
001084,2024,2024-12-31,0.0000,0.0000,0.009000000000
001094,2018,2018-06-30,5.7710,236.4850,3.350000000000
001096,2018,2018-12-31,543.0930,64.2370,176.010000000000
001096,2019,2019-12-31,471.8820,60.9890,201.000000000000
001096,2020,2020-12-31,91.5740,56.6830,115.450000000000
001096,2021,2021-12-31,178.7860,50.7400,136.460000000000
001096,2022,2022-12-31,432.2970,45.5920,112.460000000000
001096,2023,2023-12-31,337.8260,39.0750,105.980000000000
001096,2024,2024-12-31,232.7670,34.4850,116.320000000000
001096,2025,2025-12-31,223.8320,34.0000,116.000000000000
001097,2018,2018-12-31,0.0180,1.9200,29.000000000000
001097,2019,2019-12-31,0.0480,1.9200,32.400000000000
001097,2020,2020-12-31,0.1100,1.9200,34.500000000000
001097,2021,2021-12-31,0.1500,1.9200,34.000000000000
001097,2022,2022-12-31,0.0420,1.9200,33.000000000000
001097,2023,2023-12-31,0.0430,1.9200,33.500000000000
001097,2024,2024-12-31,0.0320,1.9200,29.050000000000
001097,2025,2025-12-31,0.0510,1.9200,26.000000000000
001104,2018,2018-12-31,2.8510,21.7400,14.250000000000
001104,2019,2019-12-31,1.6800,20.4890,23.790000000000
001104,2020,2020-12-31,2.5690,23.5210,30.130000000000
001104,2021,2021-12-31,6.3730,22.0310,33.700000000000
001104,2022,2022-12-31,4.3040,28.9790,21.900000000000
001104,2023,2023-12-31,4.6740,27.1900,42.860000000000
001104,2024,2024-12-31,7.1480,30.2310,37.330000000000
001104,2025,2025-12-31,10.6520,29.3810,40.310000000000
001117,2018,2018-12-31,1.3960,,3.750000000000
001117,2019,2019-12-31,2.4550,,3.100000000000
001117,2020,2020-12-31,0.9460,,3.030000000000
001117,2021,2021-12-31,2.4160,,2.410100000000
001117,2022,2022-12-31,1.7500,0.0000,3.320000000000
001117,2023,2023-12-31,2.1170,0.0000,12.229300000000
001117,2024,2024-12-31,1.2350,1.3210,34.290000000000
001117,2025,2025-12-31,1.0390,3.4170,74.590000000000
001121,2018,2018-12-31,11.7310,0.0000,38.710000000000
001121,2019,2019-12-31,35.7430,1.5970,38.070000000000
001121,2020,2020-12-31,5.0080,4.1060,24.100000000000
001121,2021,2021-12-31,12.3820,3.3170,27.810000000000
001121,2022,2022-12-31,7.4910,16.1730,38.920000000000
001121,2023,2023-12-31,11.8970,14.6580,26.180000000000
001161,2018,2018-12-31,163.0000,515.0000,18.460000000000
001161,2019,2019-12-31,217.0000,499.0000,45.860000000000
001161,2020,2020-12-31,294.0000,518.0000,91.710000000000
001161,2021,2021-12-31,301.0000,617.0000,143.900000000000
001161,2022,2022-12-31,450.0000,48657.0000,64.770000000000
001161,2023,2023-12-31,546.0000,45625.0000,147.410000000000
001161,2024,2024-12-31,636.0000,43769.0000,120.790000000000
001161,2025,2025-12-31,974.0000,41831.0000,214.160000000000
001166,2018,2018-12-31,76.7790,184.5540,41.382000000000
001166,2019,2019-12-31,54.6580,224.9910,112.418000000000
001166,2020,2020-12-31,115.0430,266.6250,220.179000000000
001166,2021,2021-12-31,82.1140,325.3930,442.031000000000
001166,2022,2022-12-31,108.1400,1030.8760,251.497000000000
001166,2023,2023-12-31,170.3370,1133.8540,519.133000000000
001166,2024,2024-12-31,173.8240,1177.0560,578.636000000000
001166,2025,2025-12-31,256.5460,1569.1020,607.897000000000
001186,2018,2018-12-31,1089.1000,407.7920,40.400000000000
001186,2019,2019-12-31,882.6640,407.7920,61.610000000000
001186,2020,2020-12-31,759.3420,407.7920,70.510000000000
001186,2021,2021-12-31,867.6840,407.7920,53.140000000000
001186,2022,2022-12-31,1538.2370,2057.4410,51.990000000000
001186,2023,2023-12-31,1665.0790,4157.6720,54.850000000000
001186,2024,2024-12-31,1834.2450,4157.6720,78.210000000000
001186,2025,2025-12-31,2433.1720,4157.6720,169.530000000000
001209,2018,2018-09-30,1568.4000,1227.4000,167.050000000000
001209,2019,2019-09-30,1989.7000,1216.6000,221.860000000000
001209,2020,2020-09-30,2509.0000,1327.3000,297.860000000000
001209,2021,2021-09-30,2464.2000,1332.2000,256.110000000000
001209,2022,2022-09-30,2926.5000,1170.5000,232.730000000000
001209,2023,2023-09-30,4626.4000,1196.3000,283.400000000000
001209,2024,2024-09-30,6796.7000,1216.7000,297.740000000000
001209,2025,2025-09-30,7022.6000,1257.4000,272.720000000000
001210,2018,2019-03-31,20.4700,5.6430,30.190000000000
001210,2019,2020-03-31,38.6920,4.9760,12.510000000000
001210,2020,2021-03-31,6.0050,4.2270,23.770000000000
001210,2021,2022-03-31,1.5580,23.3860,22.750000000000
001210,2022,2023-03-31,1.1780,22.6660,25.050000000000
001210,2023,2024-03-31,1.0760,21.5180,22.200000000000
001210,2024,2025-03-31,15.6790,20.5620,16.900000000000
001224,2018,2018-09-30,131.7000,0.0000,
001224,2019,2019-09-30,174.5000,0.0000,
001224,2020,2020-09-30,150.4000,0.0000,
001224,2021,2021-09-30,169.8000,0.0000,
001224,2022,2022-09-30,141.5000,0.0000,
001224,2023,2023-09-30,117.6000,0.0000,
001224,2024,2024-09-30,112.8000,0.0000,
001224,2025,2025-09-30,144.2000,0.0000,
001225,2018,2018-12-31,2158.0000,,
001225,2019,2019-12-31,1757.0000,,
001225,2020,2020-12-31,1970.0000,,
001225,2021,2021-12-31,1753.0000,,
001225,2022,2022-12-31,2016.0000,,
001225,2023,2023-12-31,2022.0000,,
001225,2024,2024-12-31,1881.0000,,
001225,2025,2025-12-31,1935.0000,,
001230,2018,2018-12-31,960.0000,2070.0000,60.850000000000
001230,2019,2019-12-31,696.0000,2065.0000,67.750000000000
001230,2020,2020-12-31,206.0000,2050.0000,52.000000000000
001230,2021,2021-12-31,292.0000,2044.0000,52.100000000000
001230,2022,2022-12-31,1671.0000,2038.0000,42.940000000000
001230,2023,2023-12-31,1494.0000,2033.0000,39.070000000000
001230,2024,2024-12-31,1281.0000,3597.0000,64.750000000000
001230,2025,2025-12-31,1588.0000,3538.0000,50.300000000000
001234,2018,2018-12-31,17.5070,11.3890,741.080000000000
001234,2019,2019-12-31,20.4460,11.2690,751.500000000000
001234,2020,2020-12-31,21.8860,11.1510,642.240000000000
001234,2021,2021-12-31,15.8280,11.0320,704.900000000000
001234,2022,2022-12-31,33.7360,10.9150,559.450000000000
001234,2023,2023-12-31,22.3190,10.8020,378.790000000000
001254,2018,2018-12-31,401.2000,541.8000,32.020000000000
001254,2019,2019-12-31,310.3000,530.7000,40.800000000000
001254,2020,2020-12-31,192.3000,522.2000,56.970000000000
001254,2021,2021-12-31,325.3000,508.9000,90.030000000000
001254,2022,2022-12-31,209.3000,502.7000,62.510000000000
001254,2023,2023-12-31,248.4000,504.2000,109.600000000000
001254,2024,2024-12-31,310.1000,487.2000,134.840000000000
001254,2025,2025-12-31,393.4000,474.4000,123.550000000000
001257,2018,2018-12-31,0.0000,0.0000,304.740000000000
001257,2019,2019-12-31,0.0000,0.0000,330.350000000000
001257,2020,2020-12-31,0.0000,0.0000,277.350000000000
001257,2021,2021-12-31,0.0000,0.0000,260.300000000000
001257,2022,2022-12-31,0.0000,0.0000,220.060000000000
001257,2023,2023-12-31,0.0000,0.0000,213.570000000000
001257,2024,2024-12-31,0.0000,0.0000,200.060000000000
001257,2025,2025-12-31,0.0000,0.0000,217.940000000000
001262,2018,2018-12-31,68.0970,15.6530,12.680000000000
001262,2019,2019-12-31,215.7640,11.1940,13.040000000000
001262,2020,2020-12-31,90.4610,7.9100,13.920000000000
001262,2021,2021-12-31,40.8090,7.9100,17.030000000000
001262,2022,2022-12-31,70.8750,7.9100,18.220000000000
001262,2023,2023-12-31,119.2490,7.9100,14.950000000000
001262,2024,2024-12-31,165.6050,7.9100,14.800000000000
001262,2025,2025-12-31,259.1970,7.9100,18.900000000000
001263,2018,2019-03-31,,,
001263,2019,2020-03-31,,,
001263,2020,2021-03-31,,,
001263,2021,2022-03-31,167.9000,1.1000,14.040000000000
001263,2022,2023-03-31,333.5000,0.9000,10.950000000000
001263,2023,2024-03-31,490.1000,0.7000,11.550000000000
001263,2024,2024-12-31,300.1000,0.5000,14.080000000000
001263,2025,2025-12-31,328.5000,0.3000,5.650000000000
001266,2018,2018-09-30,16.3520,2.2460,33.800000000000
001266,2019,2019-09-30,20.0000,2.2460,34.020000000000
001266,2020,2020-09-30,21.7050,2.2460,28.620000000000
001266,2021,2021-09-30,40.7850,2.2460,34.240000000000
001266,2022,2022-09-30,20.8670,2.2460,28.240000000000
001266,2023,2023-09-30,16.7330,2.2460,24.960000000000
001266,2024,2024-09-30,17.8710,2.2460,27.970000000000
001266,2025,2025-09-30,5.5040,2.2460,34.660000000000
001274,2018,2018-12-31,23.2860,1008.2780,623.320000000000
001274,2019,2019-12-31,47.5720,1208.9740,799.570000000000
001274,2020,2020-12-31,37.5190,1401.6250,603.690000000000
001274,2021,2021-12-31,59.6510,1678.0130,667.590000000000
001300,2018,2018-12-31,828.0000,19685.0000,132.120000000000
001300,2019,2019-12-31,839.0000,19297.0000,177.000000000000
001300,2020,2020-12-31,906.0000,19618.0000,212.700000000000
001300,2021,2021-12-31,895.0000,21369.0000,208.510000000000
001300,2022,2022-12-31,766.0000,17497.0000,214.300000000000
001300,2023,2023-12-31,1039.0000,18049.0000,209.710000000000
001300,2024,2024-12-31,1164.0000,21825.0000,225.890000000000
001300,2025,2025-12-31,986.0000,21079.0000,195.090000000000
001327,2018,2018-09-30,422.3000,1333.5000,90.710000000000
001327,2019,2019-09-30,398.4000,1297.7000,79.250000000000
001327,2020,2020-09-30,389.4000,1243.3000,145.500000000000
001327,2021,2021-09-30,637.8000,3875.3000,164.780000000000
001327,2022,2022-09-30,489.4000,3621.4000,85.270000000000
001327,2023,2023-09-30,210.3000,3398.8000,98.590000000000
001327,2024,2024-09-30,157.0000,3077.2000,98.770000000000
001327,2025,2025-09-30,195.0000,2985.7000,76.980000000000
001380,2018,2018-12-31,2097.0000,360.0000,40.500000000000
001380,2019,2019-12-31,2829.0000,360.0000,66.810000000000
001380,2020,2020-12-31,2197.0000,360.0000,52.790000000000
001380,2021,2021-12-31,1747.0000,360.0000,74.030000000000
001380,2022,2022-12-31,2725.0000,360.0000,141.820000000000
001380,2023,2023-12-31,4108.0000,360.0000,144.160000000000
001380,2024,2024-12-31,4946.0000,360.0000,133.010000000000
001388,2018,2018-12-31,3677.0000,6228.0000,
001388,2019,2019-12-31,4156.0000,6175.0000,
001388,2020,2020-12-31,1922.0000,6120.0000,
001388,2021,2021-12-31,169.0000,6079.0000,
001388,2022,2022-12-31,2489.0000,6150.0000,
001388,2023,2023-12-31,2542.0000,6142.0000,
001388,2024,2024-12-31,2624.0000,6135.0000,
001388,2025,2025-12-31,3716.0000,6157.0000,
001393,2018,2019-03-31,1869.9680,0.0000,371.510000000000
001393,2019,2020-03-31,2309.4060,0.0000,290.550000000000
001393,2020,2021-03-31,1441.4750,0.0000,612.600000000000
001393,2021,2022-03-31,2136.5370,0.0000,596.940000000000
001393,2022,2023-03-31,2723.9010,0.0000,59.650000000000
001393,2023,2024-03-31,2992.8980,0.0000,67.540000000000
001393,2024,2025-03-31,3452.4810,0.0000,65.360000000000
