gvkey,fyear,datadate,permno,crsp_date,crsp_prc,crsp_shrout,days_diff
006233,2018,2018-12-31,84820,2018-12-31,5.2,12535.0,0
006233,2019,2019-12-31,84820,2019-12-31,12.4,12555.0,0
006233,2020,2020-12-31,84820,2020-12-31,4.95,12555.0,0
006233,2021,2021-12-31,84820,2021-12-31,8.86,15962.0,0
006233,2022,2022-12-31,84820,2022-12-30,7.71,14822.0,1
006233,2023,2023-12-31,84820,2023-12-29,6.1,14822.0,2
006233,2024,2024-12-31,84820,2024-12-31,9.25,14822.0,0
017897,2023,2023-12-31,13941,2022-02-28,,51976.0,671
023557,2018,2019-01-31,15425,2019-01-31,1.65,26008.0,0
023557,2019,2020-01-31,15425,2020-01-31,1.44,26086.0,0
023557,2020,2021-01-31,15425,2021-01-29,3.35,26235.0,2
023557,2021,2022-01-31,15425,2022-01-31,3.1,26424.0,0
023557,2022,2023-01-31,15425,2023-01-31,0.92993,26571.0,0
030449,2023,2024-04-30,20301,2024-04-30,1.28,26945.0,0
030449,2024,2025-04-30,20301,2024-12-31,0.4117,31062.0,120
031982,2018,2018-12-31,18056,2018-12-31,1.065,32332.0,0
031982,2019,2019-12-31,18056,2019-12-31,2.15,37049.0,0
031982,2020,2020-12-31,18056,2020-12-31,6.19,89310.0,0
033998,2018,2018-11-30,79474,2018-11-30,2.8257,4010.0,0
033998,2019,2019-11-30,79474,2019-11-29,3.35,5346.0,1
033998,2020,2020-11-30,79474,2020-11-30,1.74,10876.0,0
033998,2021,2021-11-30,79474,2021-11-30,1.24,15823.0,0
035430,2019,2019-12-31,18902,2019-12-31,3.01,107180.0,0
035430,2020,2020-12-31,18902,2020-12-31,0.4735,918844.0,0
035430,2021,2021-12-31,18902,2021-12-31,0.5783,2060408.0,0
035430,2022,2022-12-31,18902,2022-12-30,2.09,235194.0,1
035430,2023,2023-12-31,18902,2023-12-29,1.64,262776.0,2
035430,2024,2024-12-31,18902,2024-12-31,1.79,263084.0,0
035430,2025,2025-12-31,18902,2024-12-31,1.79,263084.0,365
035894,2021,2021-12-31,21712,2021-12-31,1.63,33198.0,0
035894,2022,2022-12-31,21712,2022-12-30,0.75,34271.0,1
035894,2023,2023-12-31,21712,2023-12-29,0.4795,49230.0,2
035894,2024,2024-12-31,21712,2024-12-31,4.01,3016.0,0
036519,2021,2021-12-31,20817,2021-12-31,3.34,67838.0,0
036519,2023,2023-12-31,20817,2023-12-29,0.357,13394.0,2
036519,2024,2024-12-31,20817,2024-12-31,2.3311,3085.0,0
036727,2021,2021-08-31,20180,2021-08-31,6.42,8325.0,0
036727,2022,2022-08-31,20180,2022-08-31,6.43,8418.0,0
036727,2023,2023-08-31,20180,2023-08-31,3.72,11173.0,0
036727,2024,2024-08-31,20180,2024-08-30,2.47,1470.0,1
036727,2025,2025-08-31,20180,2024-12-31,1.59,2851.0,243
037679,2024,2024-09-30,20863,2024-09-30,0.295,30205.0,0
038223,2023,2023-09-30,22298,2023-09-29,1.6,3772.0,1
038223,2024,2024-09-30,22298,2024-09-30,1.17,4524.0,0
038223,2025,2025-09-30,22298,2024-12-31,36.02,6989.0,273
038526,2022,2022-06-30,22320,2022-06-30,2.4,17925.0,0
038526,2023,2023-06-30,22320,2023-06-30,2.27,18186.0,0
038526,2024,2024-06-30,22320,2024-06-28,0.71263,25766.0,2
038526,2025,2025-06-30,22320,2024-12-31,0.96,76420.0,181
038800,2022,2022-12-31,22480,2022-12-30,10.14,30000.0,1
038800,2023,2023-12-31,24201,2023-12-29,4.86,68643.0,2
041300,2022,2022-12-31,23102,2022-12-30,3.8781,37886.0,1
041300,2023,2023-12-31,23102,2023-12-29,0.34,42585.0,2
041300,2024,2024-12-31,23102,2024-12-31,7.95,521.0,0
041998,2023,2024-05-31,23866,2024-05-31,0.795,18608.0,0
041998,2024,2025-05-31,23866,2024-12-31,1.13,28741.0,151
045098,2024,2024-12-31,25660,2024-12-31,7.69,17308.0,0
112881,2021,2021-12-31,19074,2021-12-31,1.09,31043.0,0
112881,2022,2022-12-31,19074,2022-12-30,0.325,31043.0,1
150257,2020,2020-12-31,90517,2020-12-31,,99295.0,0
150257,2021,2021-12-31,90517,2021-12-31,,99295.0,0
150257,2022,2022-12-31,90517,2022-12-30,,71725.0,1
150257,2023,2023-12-31,90517,2023-12-29,,99638.0,2
165557,2018,2019-03-31,90986,2019-03-29,1.11,10243.0,2
165557,2019,2020-03-31,90986,2020-03-31,0.49,10253.0,0
165557,2020,2021-03-31,90986,2021-03-31,3.34,10253.0,0
165557,2021,2022-03-31,90986,2022-03-31,5.1905,10611.0,0
165557,2022,2023-03-31,90986,2023-03-31,8.11,10967.0,0
165557,2023,2024-03-31,90986,2024-03-28,3.335,11318.0,3
165557,2024,2025-03-31,90986,2024-12-31,1.6127,11593.0,90
187118,2023,2023-12-31,12799,2023-12-29,,325784.0,2
325942,2020,2020-12-31,19989,2020-12-31,12.85,60996.0,0
343592,2023,2024-03-31,24101,2024-03-28,2.4,5208.0,3
343592,2024,2025-03-31,24101,2024-12-31,1.38,5208.0,90
346027,2021,2022-03-31,21799,2022-03-31,0.817,162634.0,0
346027,2022,2023-03-31,21799,2023-03-31,0.385,189220.0,0
346027,2023,2024-03-31,21799,2024-03-28,0.4135,410855.0,3
346027,2024,2025-03-31,21799,2024-12-31,8.82,19992.0,90
349854,2024,2025-05-31,25798,2024-12-31,6.21,28167.0,151
356289,2024,2024-06-30,25036,2024-06-28,6.06,27191.0,2
356289,2025,2025-06-30,25036,2024-12-31,2.05,30822.0,181
